distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
generalized_gamma,,,,6.391692901950432,26.699048332158206,-30729.212422813063,61464.42484562613,61486.34643006614,3,906.0497375820269,WR,6.0,4.5,7.5,0.6018652764594278,4.0055714889608645,0.5628904269717689,,,,,,,
generalized_gamma,,,,6.112195699775285,24.169872027264407,-15368.915251426435,30743.83050285287,30763.72313972033,3,311.8356297709297,TE,6.0,4.5,7.5,0.5511924005364576,4.7317196623703,0.3164631446167312,,,,,,,
gamma,,,,7.465053099530748,20.15361285915443,-11291.919763322756,22587.83952664551,22600.451977077577,2,35.0759409027296,K,6.0,4.5,7.5,,,2.6997279979724835,2.765113042920272,,0.37040768579316424,7.465053099530748,17.08701037628639,,
skew_normal,,,,6.860232067510548,35.6360556423472,-17914.631855073276,35835.26371014655,35855.202052061,3,10.704984394469648,DST,6.0,4.5,7.5,,,9.200174002589812,3.351380500822305,-0.14031786788619743,,,,,
exgaussian,-0.7368442657608802,0.40416690099621877,8.876634639215908,8.139830407298218,59.3055888964727,-1903.204172661479,3812.408345322958,3825.5487129336575,3,7.174070993512942,QB,6.5,5.0,8.0,,,,,,,,,,
weibull,,,,6.70955105581224,34.487865662897654,-17839.17201730176,35682.34403460352,35695.79861866194,2,69.20683403672047,RB,6.5,5.0,8.0,,,7.0170922255461505,,,,,,1.1322338002535792,
generalized_gamma,,,,6.80305387513849,29.491969583674624,-30355.703993941184,60717.40798788237,60739.22765169242,3,690.0836507343265,WR,6.5,5.0,8.0,0.6475035843199441,3.5332082711959822,0.8698934530071676,,,,,,,
generalized_gamma,,,,6.5495220408784744,25.78649907308554,-14617.47078249873,29240.94156499746,29260.615994530697,3,202.99924610485232,TE,6.5,5.0,8.0,0.7195360906767723,3.016741788432915,1.3017441044643419,,,,,,,
gamma,,,,7.666301569916028,20.562595484847712,-15357.662768816892,30719.325537633784,30732.54252833343,2,50.6626412734513,K,6.5,5.0,8.0,,,2.682205402085812,2.8582082356386067,,0.3728275244029976,7.666301569916028,17.06608237857001,,
skew_normal,,,,7.003719877082323,36.77938127815415,-19555.314708981907,39116.62941796381,39136.81809457249,3,11.033917095071956,DST,6.5,5.0,8.0,,,9.367396763988808,3.4378208001620774,-0.13549811667219402,,,,,
